Singer,Lyrics
박재범,Girl 말해줘 네 마음 바로 지금
박재범,Baby 같이 올라가자 하늘 위로
박재범,All I wanna do is kick it with you
박재범,너의 몸매 그린 것만 같아 미술
박재범,오늘 의상처럼 네 마음도 씨쓰루
박재범,All I wanna do is kick it with you
박재범,Girl 뭐가 중요한지 baby 바로 말해줄게
박재범,나 지금 5천만원짜리 시계 찼지만
박재범,나는 너를 훨씬 아끼지 babe
박재범,네가 원한다면 안 찰게
박재범,허세 따위는 안 통하니까
박재범,넌 정말 신기한 여자
박재범,나를 노력하게 만드니까 baby oh yeah
박재범,우리 둘의 밤을 상상했어 girl all night
박재범,몸에 타투를 보여줘 If it's alright
박재범,Girl 말해줘 네 마음 바로 지금
박재범,Baby 같이 올라가자 하늘 위로
박재범,All I wanna do is kick it with you
박재범,너의 몸매 그린 것만 같아 미술
박재범,오늘 의상처럼 네 마음도 씨쓰루
박재범,All I wanna do is kick it with you
박재범,어떡해 내 맘에 네가 들어오려 해
박재범,쉽게 빠질까 봐 위험해 보여 조심하려 할 때
박재범,움직여지지 않아 날 보는 네 시선이 내 몸을 감아
박재범,하나로 얽혀 너와 나
박재범,이제부턴 아무도 풀지 못해
박재범,뻔하지 않게 우연같이 만나 baby
박재범,서로에게 녹아들어
박재범,오늘밤 우리 기분은 저 하늘 구름 위
박재범,네 몸에 타투를 보여줘 이미 내 맘은 준비되어있어
박재범,Boy 말할게 내 마음 바로 지금
박재범,그래 같이 올라가자 하늘 위로
박재범,All I wanna do is kick it with you
박재범,네가 원한대로 내 대답은 Me too
박재범,이제부터 널 부르게 해줘 My boo
박재범,All I wanna do is kick it with you
박재범,내가 하고 싶은 모든 것 뒤엔
박재범,'너와 함께'가 생략 되어 있지
박재범,요즘 인기 많은 교포오빠들과는 달라
박재범,김치 향기가 배어있지
박재범,덕분에 난 몰아 호랑이
박재범,택 달린 옷은 방에 쌓여가고 있어
박재범,밤에 입어 편하게
박재범,이젠 너는 나 나는 너로 구분 짓고
박재범,ALL I WANNA DO 라고 말해 편하게
박재범,너의 옆자리를 상상할 거고
박재범,그곳에는 내가 있게 될 거야
박재범,그리고 너에 대해 장담하건대
박재범,뭐든 할 수 있을 거라고 믿게 될 거야
박재범,Girl 말해줘 네 마음 바로 지금
박재범,Baby 같이 올라가자 하늘 위로
박재범,All I wanna do is kick it with you
박재범,너의 몸매 그린 것만 같아 미술
박재범,오늘 의상처럼 네 마음도 씨쓰루
박재범,All I wanna do is kick it with you
박재범,Oh baby 너무 좋아서 You're driving me crazy
박재범,니 생각만해도 기분이 좋아
박재범,기분이 좋아 기분이 좋아 Na Na Na Na Na Na
박재범,이 느낌 너만 느끼게 할 수 있는 느낌
박재범,난 죽을때까지 느끼고 싶어
박재범,내 곁에 있어줘 아낄 수 있어 아낄 수 있어
박재범,언제나 너만 바라봐
박재범,나도 모르게 괜히 웃음이 나와
박재범,Oh baby baby baby baby
박재범,난 크게 소리 외치고 싶어
박재범,좋아 니 모든 것이 좋아
박재범,머리부터 발끝까지도
박재범,조그만 행동까지 하나 하나
박재범,다 좋아 니 모든 것이 좋아
박재범,너와 함께라면 즐거워
박재범,시간이 지날수록 더 좋아져
박재범,난 니가 필요해
박재범,매일같이 있게 해달라고 난 기도해
박재범,나 오직 너만이와 행복하게 살수가 있어
박재범,Break it down now
박재범,Come on no no
박재범,Ay girl 너와 함께면 하루하루가 너무 특별해
박재범,Stay with me forever and ever baby please
박재범,And girl 우리가 운명 아니어도
박재범,난 무조건 너야
박재범,You know that I got you
박재범,You know that I love you
박재범,I'll always be with you baby
박재범,언제나 너만 바라봐
박재범,나도 모르게 괜히 웃음이 나와
박재범,Oh baby baby baby baby
박재범,난 크게 소리 외치고 싶어
박재범,좋아 니 모든 것이 좋아
박재범,머리부터 발끝까지도
박재범,조그만 행동까지 하나 하나
박재범,다 좋아 니 모든 것이 좋아
박재범,너와 함께라면 즐거워
박재범,시간이 지날수록 더 좋아져
박재범,난 니가 필요해
박재범,매일같이 있게 달라고 난 기도해
박재범,나 오직 너만이와 행복하게 살수가 있어
박재범,난 절대로 떨어지기 싫어
박재범,너를 보고 있어도 너무 보고 싶은걸
박재범,내 곁에 항상 있어줘 My girl
박재범,I want you and I need you don't ever ever leave my side
박재범,좋아 니 모든 것이 좋아
박재범,머리부터 발끝까지도
박재범,조그만 행동까지 하나 하나
박재범,다 좋아 니 모든 것이 좋아
박재범,너와 함께라면 즐거워
박재범,시간이 지날수록 더 좋아져
박재범,난 니가 필요해
박재범,매일같이 있게 달라고 난 기도해
박재범,나 오직 너만이와 행복하게 살수가 있어 
박재범,투명한 바닷가에 빠지고 싶어
박재범,요트 살게 올라타 파도가 느껴져
박재범,무인도로 떠나자 딴 거 필요 없어
박재범,수영복도 챙겨와 Baby Let's fall in love
박재범,I be like
박재범,You're my dope I'm so high
박재범,Baby work girl work like Rihanna
박재범,같이 추억을 만들자
박재범,This a song I wrote just for my baby
박재범,Baby 가로수길 가지 마
박재범,혼자 청담동도 가지 마
박재범,잘생긴 남자들이 쳐다봐
박재범,외제 차 끌면 도망가
박재범,But Oh no 절대 뺏길 수가 없지
박재범,걔넨 길쭉해도 따라올 수 없지
박재범,매력 터져 swagger 넘쳐 one and only
박재범,아니어도 나를 그렇게 봐줘 my baby yeah
박재범,같이 가자 여기저기
박재범,푸껫 바닷속에 스쿠버다이빙
박재범,햇볕 아래 같이 커플 태닝
박재범,매일 휴가같이 보내 girl yeah
박재범,투명한 바닷가에 빠지고 싶어
박재범,요트 살게 올라타 파도가 느껴져
박재범,무인도로 떠나자 딴 거 필요 없어
박재범,수영복도 챙겨와 Baby Let's fall in love
박재범,I be like
박재범,You're my dope I'm so high
박재범,Baby work girl work like Rihanna
박재범,같이 추억을 만들자
박재범,This a song I wrote just for my baby
박재범,Just for my baby
박재범,Just for my baby
박재범,Hit me up baby on the Kakao baby
박재범,Gimme good lovin we can get down baby
박재범,Get down baby
박재범,비키니 입은 네 모습 보면 너무 설레네
박재범,Yeah girl yeah girl I be surfing ur waves
박재범,마가리타 한 잔 들고
박재범,보름달을 바라보며 입을 맞춰
박재범,우리 둘이 Baby just you and me
박재범,해가 지고 나서부터 뜰 때까지
박재범,It's a party just for you
박재범,샴페인 한 병 터뜨리고
박재범,너의 스트레스와 피로 해소해 girl just us two
박재범,투명한 바닷가에 빠지고 싶어
박재범,요트 살게 올라타 파도가 느껴져
